               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077459,             0.02318,              0.0576,             0.35366,             0.24301,             0.19963,            0.074424,            0.060775,           0.0090088,            0.044732,             0.07019,           0.0033122,           0.0033122
                   1,            0.055127,            0.018053,            0.041872,             0.41974,             0.36369,             0.33626,             0.11407,            0.054878,           0.0077324,             0.03338,            0.040168,           0.0066236,           0.0066236
                   2,            0.052924,            0.016515,            0.032187,             0.31542,             0.23145,             0.13406,            0.046333,            0.063076,           0.0098906,            0.050876,            0.010124,            0.009913,            0.009913
                   3,            0.052005,            0.016567,            0.030786,             0.28798,             0.22433,             0.14198,            0.045368,            0.062476,            0.011055,             0.04267,            0.009901,            0.009901,            0.009901
                   4,            0.053089,            0.017564,            0.034084,             0.33828,             0.26626,             0.22926,            0.079267,            0.058348,           0.0091738,            0.036089,            0.009901,            0.009901,            0.009901
                   5,            0.052738,            0.017926,            0.032733,             0.53354,             0.41883,             0.41988,             0.15832,            0.056746,           0.0092426,            0.030589,            0.009868,            0.009868,            0.009868
                   6,            0.052615,            0.018034,            0.029955,             0.46783,             0.34017,             0.34721,             0.12514,            0.057248,             0.00876,            0.028252,            0.009835,            0.009835,            0.009835
                   7,            0.049702,            0.017299,            0.031837,             0.46515,             0.33717,             0.37135,             0.15202,            0.055485,           0.0094156,            0.032561,            0.009802,            0.009802,            0.009802
                   8,            0.049245,            0.017377,            0.026918,              0.3495,             0.25402,              0.2392,            0.083329,            0.061236,           0.0093069,            0.034136,            0.009769,            0.009769,            0.009769
                   9,            0.049512,            0.017209,            0.027513,             0.60082,              0.3738,             0.43611,             0.16074,            0.053213,           0.0087876,            0.025334,            0.009736,            0.009736,            0.009736
                  10,            0.049551,            0.016969,            0.025285,             0.47822,             0.38804,             0.40539,              0.1474,            0.052876,           0.0086874,            0.025632,            0.009703,            0.009703,            0.009703
                  11,            0.048582,            0.016797,            0.025133,              0.5905,              0.4835,             0.53484,             0.22162,            0.048269,           0.0085824,            0.022734,             0.00967,             0.00967,             0.00967
                  12,            0.047359,            0.017203,            0.025727,             0.52102,             0.42733,             0.44027,             0.18532,            0.050686,            0.008808,            0.026316,            0.009637,            0.009637,            0.009637
                  13,            0.046139,            0.016741,            0.026046,             0.59505,             0.48431,             0.54177,              0.2279,            0.049877,           0.0088866,            0.020232,            0.009604,            0.009604,            0.009604
