               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086543,            0.024591,            0.064601,             0.28127,             0.22693,              0.1915,            0.087275,            0.060301,            0.011335,            0.053429,             0.07019,           0.0033122,           0.0033122
                   1,            0.058505,            0.019256,            0.047813,             0.48762,             0.41976,             0.40262,             0.17222,            0.053108,           0.0091006,             0.03915,            0.040168,           0.0066236,           0.0066236
                   2,            0.056288,            0.017652,            0.036515,             0.38165,              0.3084,             0.25707,            0.099616,            0.059358,            0.010449,            0.037413,            0.010124,            0.009913,            0.009913
                   3,            0.055665,            0.017625,            0.034595,             0.49046,             0.34802,             0.34446,             0.14146,            0.059323,            0.011068,            0.041478,            0.009901,            0.009901,            0.009901
                   4,            0.054376,            0.018024,            0.036433,             0.41502,             0.38549,             0.34137,             0.13751,            0.059696,            0.013363,            0.033558,            0.009901,            0.009901,            0.009901
                   5,            0.052965,            0.018693,            0.034816,             0.46376,             0.43323,                0.42,             0.20076,            0.055715,            0.010739,            0.035051,            0.009868,            0.009868,            0.009868
                   6,            0.052882,            0.018551,            0.032822,             0.48438,             0.44887,             0.43013,             0.17925,            0.054968,           0.0098446,            0.030057,            0.009835,            0.009835,            0.009835
                   7,            0.051266,            0.017914,            0.033873,             0.50625,             0.40761,             0.43597,             0.20392,            0.054343,            0.010561,            0.031787,            0.009802,            0.009802,            0.009802
                   8,            0.050613,            0.018321,             0.03124,             0.56242,             0.45102,             0.48724,             0.23549,            0.052936,            0.010335,            0.030325,            0.009769,            0.009769,            0.009769
                   9,            0.050793,             0.01834,            0.030982,             0.45159,             0.43631,              0.4305,              0.1671,            0.056369,            0.010022,            0.034291,            0.009736,            0.009736,            0.009736
                  10,            0.050593,            0.017811,            0.030647,             0.51037,             0.43583,             0.42563,             0.15634,            0.059452,            0.010538,            0.030208,            0.009703,            0.009703,            0.009703
                  11,            0.050071,            0.018006,            0.028266,              0.6372,             0.54726,              0.5824,             0.29642,            0.052189,           0.0096156,            0.026708,             0.00967,             0.00967,             0.00967
                  12,            0.048522,            0.017601,            0.028722,             0.63464,             0.61626,             0.62648,             0.31291,            0.048102,           0.0095575,            0.026385,            0.009637,            0.009637,            0.009637
                  13,            0.046739,            0.017355,            0.028068,             0.59853,             0.50213,             0.53448,             0.23283,            0.050221,            0.010232,            0.025174,            0.009604,            0.009604,            0.009604
                  14,            0.047216,            0.017322,            0.026942,             0.55264,              0.5008,             0.51383,             0.24848,            0.050405,           0.0099047,            0.025692,            0.009571,            0.009571,            0.009571
                  15,            0.046418,            0.017518,            0.026653,             0.64898,             0.55963,             0.57458,             0.29637,            0.050101,            0.010039,            0.025101,            0.009538,            0.009538,            0.009538
                  16,            0.045163,            0.017147,            0.025264,             0.63658,              0.5214,             0.56707,             0.25738,            0.051586,            0.010074,            0.023837,            0.009505,            0.009505,            0.009505
                  17,            0.045276,            0.017209,            0.027406,              0.6935,             0.61243,             0.64477,             0.32277,            0.046634,           0.0094289,            0.018799,            0.009472,            0.009472,            0.009472
                  18,            0.044381,             0.01655,            0.024458,              0.7129,             0.60828,              0.6519,             0.36146,            0.047904,           0.0092992,            0.020821,            0.009439,            0.009439,            0.009439
                  19,            0.044189,             0.01707,            0.024223,             0.68183,             0.60835,             0.64111,              0.2836,            0.051453,           0.0096107,            0.019208,            0.009406,            0.009406,            0.009406
                  20,            0.044539,            0.016977,            0.025664,             0.65327,             0.53299,              0.5797,             0.26882,            0.050832,           0.0096842,            0.021006,            0.009373,            0.009373,            0.009373
                  21,            0.044917,            0.016859,            0.025163,             0.70908,              0.5949,              0.6351,             0.28941,             0.04981,           0.0095309,            0.020096,             0.00934,             0.00934,             0.00934
                  22,              0.0449,            0.017163,            0.023853,             0.77449,             0.63062,             0.68497,             0.34447,            0.049518,           0.0089987,            0.017712,            0.009307,            0.009307,            0.009307
                  23,            0.043048,            0.015996,            0.023162,             0.67087,             0.60804,             0.64001,              0.3228,             0.04589,           0.0093505,            0.019312,            0.009274,            0.009274,            0.009274
                  24,             0.04311,            0.016321,            0.023055,             0.67585,             0.62205,             0.64158,             0.33983,            0.047934,           0.0092499,            0.020438,            0.009241,            0.009241,            0.009241
                  25,            0.043149,            0.016114,            0.022631,              0.7088,             0.61455,             0.65315,             0.32686,            0.047325,           0.0091296,              0.0221,            0.009208,            0.009208,            0.009208
                  26,            0.044859,            0.016486,            0.022657,             0.70924,             0.62717,             0.66736,             0.32614,            0.047203,           0.0089488,             0.01965,            0.009175,            0.009175,            0.009175
                  27,            0.043526,            0.016004,            0.022359,             0.72287,             0.63458,             0.66304,             0.35854,             0.04791,           0.0094797,            0.021683,            0.009142,            0.009142,            0.009142
                  28,            0.042857,            0.016804,            0.022038,             0.66195,             0.56362,             0.59698,             0.28327,            0.048244,           0.0093581,            0.017779,            0.009109,            0.009109,            0.009109
