               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10646,            0.024487,            0.069555,           0.0012606,             0.25023,           0.0015502,          0.00043818,            0.086298,            0.013216,             0.06529,            0.067209,          0.00033122,          0.00033122
                   1,            0.080172,            0.024514,            0.063877,             0.63457,             0.04712,             0.10766,            0.045828,            0.067903,            0.012209,            0.058419,            0.034208,          0.00066323,          0.00066323
                   2,            0.061812,            0.022756,            0.056397,             0.48982,             0.26209,             0.25469,             0.13673,            0.055448,            0.010341,            0.050896,           0.0012049,           0.0009939,           0.0009939
                   3,            0.052567,            0.019236,            0.048189,             0.54654,             0.44706,             0.44139,             0.23275,            0.049156,           0.0093602,            0.042544,          0.00099401,          0.00099401,          0.00099401
                   4,            0.046458,              0.0178,            0.041571,             0.58934,             0.47259,             0.49811,             0.24929,            0.048142,           0.0087846,            0.038172,          0.00099401,          0.00099401,          0.00099401
                   5,            0.044976,            0.017618,            0.038037,             0.61379,             0.54744,             0.55987,             0.34379,            0.042014,            0.008552,            0.034178,          0.00099201,          0.00099201,          0.00099201
                   6,            0.043389,            0.017153,            0.033472,             0.64615,              0.5905,             0.61658,             0.35608,            0.042549,           0.0081377,            0.030951,          0.00099001,          0.00099001,          0.00099001
                   7,            0.042251,            0.015829,            0.031942,             0.64882,             0.56159,             0.59801,              0.3311,            0.043333,           0.0081255,            0.030027,          0.00098801,          0.00098801,          0.00098801
                   8,            0.040963,            0.016163,            0.028533,             0.70691,             0.60941,              0.6671,             0.38286,            0.042653,           0.0078787,            0.027732,          0.00098601,          0.00098601,          0.00098601
                   9,            0.041668,             0.01598,            0.027438,             0.73138,             0.61316,             0.68157,             0.43224,            0.039103,             0.00788,            0.026156,          0.00098402,          0.00098402,          0.00098402
                  10,            0.040331,             0.01537,            0.025712,             0.75079,             0.62377,             0.70346,             0.41862,            0.038779,           0.0076705,            0.024583,          0.00098202,          0.00098202,          0.00098202
                  11,            0.040497,            0.015457,            0.023615,              0.7476,             0.63354,             0.71821,             0.41339,              0.0399,           0.0076963,            0.023743,          0.00098002,          0.00098002,          0.00098002
                  12,            0.038803,            0.015126,            0.024015,             0.74999,             0.63827,             0.71769,             0.44395,            0.037556,           0.0077124,            0.022982,          0.00097802,          0.00097802,          0.00097802
                  13,            0.038417,            0.014769,            0.022627,             0.75311,             0.65453,             0.73444,             0.41624,            0.040486,           0.0075441,            0.020976,          0.00097602,          0.00097602,          0.00097602
                  14,            0.038792,            0.014658,            0.022464,              0.7369,             0.67176,             0.72669,             0.42689,            0.039434,           0.0076025,            0.021937,          0.00097403,          0.00097403,          0.00097403
                  15,             0.03808,            0.014732,            0.021664,             0.74562,              0.7075,             0.75568,             0.48137,            0.036625,           0.0075054,            0.019888,          0.00097203,          0.00097203,          0.00097203
                  16,            0.036864,             0.01435,            0.019949,             0.73957,             0.72202,             0.75811,               0.464,            0.038433,           0.0073955,             0.01933,          0.00097003,          0.00097003,          0.00097003
                  17,             0.03691,            0.014521,            0.021415,             0.72697,             0.72412,              0.7606,             0.49558,            0.035217,           0.0075635,              0.0193,          0.00096803,          0.00096803,          0.00096803
