               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077459,             0.02318,              0.0576,             0.35366,             0.24301,             0.19963,            0.074424,            0.060775,           0.0090088,            0.044732,             0.07019,           0.0033122,           0.0033122
                   1,            0.055503,            0.018126,            0.042066,             0.38369,             0.37365,             0.32771,             0.12774,            0.054258,           0.0083325,            0.033564,            0.040177,           0.0066324,           0.0066324
                   2,            0.053072,            0.016782,            0.033922,             0.40963,             0.38296,             0.32767,             0.13795,            0.053312,           0.0088009,            0.032501,             0.01015,           0.0099394,           0.0099394
                   3,            0.053418,            0.016729,            0.031261,             0.31506,             0.33919,             0.22356,             0.07455,             0.05728,            0.011005,            0.036549,           0.0099406,           0.0099406,           0.0099406
                   4,             0.05318,            0.017843,            0.034729,             0.36777,             0.12078,             0.10932,            0.041115,            0.068912,            0.009128,            0.047203,           0.0099406,           0.0099406,           0.0099406
                   5,            0.053367,            0.018198,            0.034292,             0.31428,             0.22782,             0.17431,            0.060836,            0.061089,           0.0093681,            0.038976,           0.0099208,           0.0099208,           0.0099208
                   6,            0.053311,            0.018405,            0.032248,             0.36026,             0.33687,             0.25417,            0.097459,            0.055131,            0.011581,            0.036128,            0.009901,            0.009901,            0.009901
                   7,            0.051551,            0.017624,            0.032052,             0.48812,             0.37033,             0.36796,             0.14557,            0.054117,           0.0093499,            0.028915,           0.0098812,           0.0098812,           0.0098812
                   8,            0.050038,            0.017886,            0.028517,             0.49743,             0.37778,             0.41436,             0.16415,            0.052016,           0.0092675,             0.02928,           0.0098614,           0.0098614,           0.0098614
                   9,            0.048734,            0.017583,            0.028559,             0.58582,             0.42064,             0.47988,             0.20363,            0.051998,           0.0089873,            0.026734,           0.0098416,           0.0098416,           0.0098416
                  10,             0.04893,            0.017228,            0.027387,             0.51138,             0.40332,             0.40126,             0.14999,            0.049511,            0.010593,            0.026054,           0.0098218,           0.0098218,           0.0098218
                  11,            0.049566,            0.017146,            0.026872,             0.55893,             0.51899,             0.51712,             0.20776,            0.050654,           0.0087273,            0.025826,            0.009802,            0.009802,            0.009802
                  12,            0.047692,            0.017347,            0.025977,             0.35502,             0.35236,             0.31422,              0.1018,            0.054679,           0.0095917,            0.038659,           0.0097822,           0.0097822,           0.0097822
                  13,            0.047387,            0.016877,            0.026599,              0.4706,             0.49358,             0.45342,             0.19972,            0.047362,            0.009459,            0.021685,           0.0097624,           0.0097624,           0.0097624
                  14,             0.04567,            0.016742,            0.022948,              0.5001,             0.45408,             0.43076,              0.1676,            0.052975,           0.0088098,            0.025684,           0.0097426,           0.0097426,           0.0097426
                  15,            0.046146,            0.016847,            0.023251,             0.65286,             0.56023,              0.6159,             0.26503,            0.046503,           0.0088773,            0.020819,           0.0097228,           0.0097228,           0.0097228
                  16,            0.044497,            0.016661,            0.023569,             0.64598,              0.5341,             0.56213,              0.2352,            0.048704,           0.0085586,            0.021703,            0.009703,            0.009703,            0.009703
                  17,            0.044143,            0.016874,            0.023151,             0.61304,             0.56342,             0.58889,              0.2533,            0.048265,           0.0082356,            0.022031,           0.0096832,           0.0096832,           0.0096832
                  18,            0.042807,            0.016151,            0.022962,             0.68745,             0.57221,             0.63707,             0.30496,            0.044055,           0.0086643,            0.017969,           0.0096634,           0.0096634,           0.0096634
                  19,            0.043541,            0.016416,            0.020168,             0.64039,             0.63901,             0.66298,             0.29678,            0.043866,           0.0083694,            0.019064,           0.0096436,           0.0096436,           0.0096436
